title;price_raw;size_raw;rooms_raw;floor_raw;free_raw;post;cold_hot_rent;additional_details
Wohnung zur Miete · Tauschwohnung;1.000 €;75 m²;2 Zimmer;3. Geschoss;;10115;Kaltmiete;
Wohnung zur Miete · Tauschwohnung;580 €;86 m²;3 Zimmer;5. Geschoss;;13439;Kaltmiete;
Wohnung zur Miete · Tauschwohnung;480 €;57 m²;2 Zimmer;4. Geschoss;;10318;Kaltmiete;
Wohnung zum Kauf - Neubau;615.000 €;81,8 m²;3 Zimmer;2. Geschoss;frei ab sofort;14469;7.518 €/m²;
Penthouse zum Kauf - Neubau · provisionsfrei;695.000 €;106,2 m²;3 Zimmer;4. Geschoss;frei ab 30.11.2026;10318;6.542 €/m²;
Wohnung zur Miete · Tauschwohnung;360 €;52 m²;2 Zimmer;EG;;13359;Kaltmiete;
Wohnung zur Miete · Tauschwohnung;500 €;63 m²;2 Zimmer;4. Geschoss;;10245;Kaltmiete;
Wohnung zum Kauf - Neubau · provisionsfrei;239.000 €;46 m²;2 Zimmer;5. Geschoss;;10713;5.198 €/m²;
Penthouse zum Kauf - Neubau · provisionsfrei;431.000 €;57,1 m²;2 Zimmer;4. Geschoss;;12347;7.549 €/m²;
Penthouse zum Kauf - Neubau · provisionsfrei;713.000 €;94,9 m²;3 Zimmer;4. Geschoss;;12347;7.510 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei;449.000 €;69 m²;2 Zimmer;2. Geschoss;;12347;6.511 €/m²;
WG-Zimmer zur Miete auf Zeit;2.800 €/Monat;120 m²;WG-Zimmer zur Miete auf Zeit;;frei ab sofort;10117;Kaltmiete;
Studio zum Kauf - Neubau · provisionsfrei;185.000 €;28,3 m²;1 Zimmer;4. Geschoss;;10713;6.546 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei;714.000 €;100,3 m²;4 Zimmer;3. Geschoss;frei ab 31.12.2026;13055;7.121 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei;779.000 €;97,1 m²;3 Zimmer;EG;frei ab sofort;14197;8.022 €/m²;
Wohnung zur Miete;1.650 €;95,3 m²;4 Zimmer;2. Geschoss;;13585;Kaltmiete;
Studio zum Kauf - Neubau · provisionsfrei;243.000 €;33,9 m²;1 Zimmer;3. Geschoss;frei ab 30.11.2026;10318;7.160 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei;462.000 €;74,1 m²;3 Zimmer;2. Geschoss;frei ab 30.11.2026;10318;6.237 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei;451.000 €;72,2 m²;3 Zimmer;1. Geschoss;frei ab 31.12.2026;10318;6.247 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei;749.000 €;145,9 m²;5 Zimmer;EG;;13125;5.135 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei · als Kapitalanlage geeignet;554.900 €;69,4 m²;2 Zimmer;;;14165;7.998 €/m²;
Wohnung zum Kauf - Neubau;460.000 €;58,7 m²;2 Zimmer;EG;;14469;7.835 €/m²;
Penthouse zum Kauf - Neubau · provisionsfrei · als Kapitalanlage geeignet;691.500 €;84,8 m²;2 Zimmer;;;14165;8.098 €/m²;
Wohnung zur Miete;2.298 €;114,9 m²;3 Zimmer;5. Geschoss;;10627;Kaltmiete;
Terrassenwohnung zum Kauf - Neubau · provisionsfrei · als Kapitalanlage geeignet;883.100 €;112,5 m²;3 Zimmer;;;14165;7.848 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei;769.000 €;89,8 m²;3 Zimmer;4. Geschoss;;14197;8.562 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei;695.800 €;81,5 m²;3 Zimmer;2. Geschoss;;12169;8.536 €/m²;
Wohnung zum Kauf - Neubau;398.000 €;49,4 m²;2 Zimmer;EG;frei ab sofort;10629;8.053 €/m²;
Terrassenwohnung zum Kauf - Neubau · provisionsfrei;685.000 €;87,7 m²;3 Zimmer;EG;;12169;7.812 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei · als Kapitalanlage geeignet;723.800 €;90,5 m²;3 Zimmer;;;14165;7.998 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei · als Kapitalanlage geeignet;719.300 €;90,5 m²;3 Zimmer;;;14165;7.948 €/m²;
Studio zum Kauf - Neubau · provisionsfrei;638.000 €;42,2 m²;2 Zimmer;3. Geschoss;frei ab sofort;10117;15.118 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei;799.000 €;144,6 m²;5 Zimmer;EG;;13125;5.524 €/m²;
Einfamilienhaus zur Miete;1.950 €;166 m²;6 Zimmer;;;13127;Kaltmiete;790 m² Grundstück
Wohnung zum Kauf - Neubau;1.850.000 €;183,4 m²;4 Zimmer;2. Geschoss;frei ab sofort;10629;10.086 €/m²;
Wohnung zum Kauf - Neubau;790.000 €;97,2 m²;4 Zimmer;1. Geschoss;frei ab sofort;14469;8.132 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei;828.000 €;87,3 m²;2 Zimmer;5. Geschoss;;14197;9.490 €/m²;
Wohnung zum Kauf - Neubau;342.000 €;56,1 m²;2 Zimmer;1. Geschoss;frei ab sofort;12049;6.096 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei;279.950 €;28,2 m²;2 Zimmer;2. Geschoss;;10249;9.917 €/m²;
Studio zum Kauf - Neubau · provisionsfrei;249.950 €;27,5 m²;1 Zimmer;2. Geschoss;;10249;9.099 €/m²;
Wohnung zum Kauf - Neubau · provisionsfrei;459.950 €;50,5 m²;2,5 Zimmer;3. Geschoss;;10249;9.110 €/m²;
Wohnung zur Miete;1.682 €;60,1 m²;3 Zimmer;3. Geschoss;frei ab sofort;10245;Kaltmiete;
Penthouse zum Kauf - Neubau · provisionsfrei;631.000 €;85,8 m²;3 Zimmer;4. Geschoss;;12347;7.353 €/m²;
Wohnung zur Miete - Erstbezug;1.250 €;45 m²;2 Zimmer;;;12459;Kaltmiete;
Wohnung zum Kauf - Neubau · provisionsfrei;634.000 €;92,7 m²;4 Zimmer;1. Geschoss;frei ab 31.12.2026;13055;6.843 €/m²;
Wohnung zur Miete - Erstbezug;1.480 €;61,2 m²;2 Zimmer;1. Geschoss;frei ab sofort;12555;Kaltmiete;
Terrassenwohnung zum Kauf - Neubau · provisionsfrei;655.000 €;83,8 m²;3 Zimmer;EG;;12209;7.813 €/m²;
