id	object_type	marketing_type	is_valid	price_euro	size_sqm	size_category	price_per_sqm	listings_per_1k_bundesland	listings_per_1k_city	density_city	density_land	population_land	zip	city	bundesland	short_name	country	rooms	floor	free	cold_hot_rent	predicted_price_per_sqm	predicted_price	gap	ratio	MAE	RMSE	bias	price_category
9237	Studio	zur Miete	True	485	19,3	small	25,12953368	8566,836669	38,47114472	7798,052338	187,8172845	13248928	90478	Nürnberg	Bayern	BY	Germany	1	1	16.07.2026	Kaltmiete	17,72503072	342,0930928	-7,404502963	-0,294653417	3,105079894	4,843472568	-0,156819158	Overpriced
9238	Studio	zur Miete	True	500	20,5	small	24,3902439	8566,836669	38,47114472	7798,052338	187,8172845	13248928	90478	Nürnberg	Bayern	BY	Germany	1	1	16.07.2026	Kaltmiete	17,6931862	362,710317	-6,697057707	-0,274579366	3,105079894	4,843472568	-0,156819158	Overpriced
9239	Studio	zur Miete	True	510	19,4	small	26,28865979	8566,836669	38,47114472	7798,052338	187,8172845	13248928	90478	Nürnberg	Bayern	BY	Germany	1	4	16.05.2026	Kaltmiete	17,72237701	343,8141139	-8,566282788	-0,325854679	3,105079894	4,843472568	-0,156819158	Overpriced
9240	Studio	zur Miete	True	505	20,2	small	25	8566,836669	38,47114472	7798,052338	187,8172845	13248928	90478	Nürnberg	Bayern	BY	Germany	1	3	16.04.2026	Kaltmiete	17,70114733	357,563176	-7,298852674	-0,291954107	3,105079894	4,843472568	-0,156819158	Overpriced
9241	Studio	zur Miete	True	500	20,3	small	24,63054187	8566,836669	38,47114472	7798,052338	187,8172845	13248928	90478	Nürnberg	Bayern	BY	Germany	1	1	16.05.2026	Kaltmiete	17,69849362	359,2794204	-6,932048256	-0,281441159	3,105079894	4,843472568	-0,156819158	Overpriced
9242	Maisonette	zur Miete	True	1920	82	medium	23,41463415						13353	Wedding			Germany	2	EG	15.04.2026	Kaltmiete	21,17122858	1736,040743	-2,243405571	-0,095812113	3,105079894	4,843472568	-0,156819158	Fair Price
9243	Maisonette	zur Miete	True	990	99	medium	10	1984,193403		294,117098	528,6783023	18034454	32339	Espelkamp	Nordrhein-Westfalen	NW	Germany	3	EG	01.05.2026	Kaltmiete	9,177398509	908,5624524	-0,822601491	-0,082260149	3,105079894	4,843472568	-0,156819158	Fair Price
9244	Wohnung	zur Miete	True	1630	109	large	14,95412844	1276,299508	1,961506054	1019,624689	187,2601208	2959517	23611	Bad Schwartau	Schleswig-Holstein	SH	Germany	3	2	01.04.2026	Kaltmiete	11,76539697	1282,42827	-3,18873147	-0,21323419	3,105079894	4,843472568	-0,156819158	Overpriced
9245	Studio	zur Miete	True	445	19	small	23,42105263	1984,193403	16,14104139	3655,278404	528,6783023	18034454	45127	Essen	Nordrhein-Westfalen	NW	Germany	1	4	sofort	Kaltmiete	12,74792726	242,2106179	-10,67312537	-0,455706477	3,105079894	4,843472568	-0,156819158	Overpriced
9246	Wohnung	zur Miete	True	1580	100	medium	15,8	1984,193403	42,24310802	3763,927596	528,6783023	18034454	50968	Köln	Nordrhein-Westfalen	NW	Germany	3	1	01.05.2026	Kaltmiete	14,87039775	1487,039775	-0,929602251	-0,058835585	3,105079894	4,843472568	-0,156819158	Fair Price
9247	Studio	zur Miete	True	850	34,6	small	24,56647399	359,5658494	239,3182027	7262,297561	4135,542912	3685265	13086	Berlin	Berlin	BE	Germany	1	EG		Kaltmiete	14,38015743	497,5534469	-10,18631656	-0,414643004	3,105079894	4,843472568	-0,156819158	Overpriced
9248	Wohnung	zur Miete	True	1190	101	large	11,78217822	2324,549849	1,727139791	2315,967718	167,7744188	8004489	29221	Celle	Niedersachsen	NI	Germany	3	2	sofort	Kaltmiete	8,965048111	905,4698592	-2,817130107	-0,239100959	3,105079894	4,843472568	-0,156819158	Overpriced
9249	Wohnung	zur Miete	True	1890	95,6	medium	19,76987448	1276,299508	0,773298248	1293,162118	187,2601208	2959517	25469	Halstenbek	Schleswig-Holstein	SH	Germany	3			Kaltmiete	17,26694648	1650,720083	-2,502928	-0,126603131	3,105079894	4,843472568	-0,156819158	Fair Price
9250	Wohnung	zur Miete	True	940	84,6	medium	11,11111111	2546,173175		353,2184019	314,5897568	11245898	79664	Wehr	Baden-Württemberg	BW	Germany	3		sofort	Kaltmiete	10,33580401	874,409019	-0,775307103	-0,069777639	3,105079894	4,843472568	-0,156819158	Fair Price
9251	Wohnung	zur Miete	True	613	58,3	medium	10,51457976	2546,173175		45,3065795	314,5897568	11245898	79865	Grafenhausen	Baden-Württemberg	BW	Germany	2	2	01.05.2026	Kaltmiete	9,94994737	580,0819317	-0,564632389	-0,053699948	3,105079894	4,843472568	-0,156819158	Fair Price
